Eugene, Oregon, United States
Golden, Colorado, United States
Chicago, Illinois, United States
Philadelphia, Pennsylvania, United States
New Orleans, Louisiana, United States
Houston, Texas, United States
Lincoln, Nebraska, United States
Knoxville, Tennessee, United States
Pullman, Washington, United States
Provo, Utah, United States
Bethlehem, Pennsylvania, United States
Syracuse, New York, United States
University City, Charlotte, North Carolina, United States
Lowell, Massachusetts, United States
Columbia, South Carolina, United States
Detroit, Michigan, United States
Waltham, Massachusetts, United States
Cleveland, Ohio, United States
Philadelphia, Pennsylvania, United States
Miami[a], Florida, United States
Portland, Oregon, United States
