Westwood, Los Angeles, California, United States
Hanover, New Hampshire, United States

Pullman, Washington, United States
Houghton, Michigan, United States
Mississippi State and Starkville, Mississippi, United States
Athens, Ohio, United States
Stillwater, Oklahoma, United States
Laramie, Wyoming, United States
Wright-Patterson AFB,
Dayton, Ohio, United States

Eugene, Oregon, United States
Golden, Colorado, United States
Chicago, Illinois, United States
Philadelphia, Pennsylvania, United States
New Orleans, Louisiana, United States
Houston, Texas, United States
Lincoln, Nebraska, United States
Knoxville, Tennessee, United States
Pullman, Washington, United States
Provo, Utah, United States
Bethlehem, Pennsylvania, United States
Syracuse, New York, United States
University City, Charlotte, North Carolina, United States
Lowell, Massachusetts, United States
Columbia, South Carolina, United States
Detroit, Michigan, United States
Waltham, Massachusetts, United States
Cleveland, Ohio, United States
Philadelphia, Pennsylvania, United States
Miami[a], Florida, United States
Portland, Oregon, United States


Rolla, Missouri, United States
Bozeman, Montana, United States
Socorro, New Mexico, United States
Fort Lauderdale-Davie[8][9], Florida, United States
Auburn Hills and Rochester Hills, Michigan, United States
Carbondale, Illinois, United States
University Park, Texas, United States
Huntsville, Alabama, United States
Louisville, Kentucky, United States
Coral Gables-Miami, Florida, United States
Kansas City, Missouri, United States
Tulsa, Oklahoma, United States

Ithaca, New York, United States
Amherst, Massachusetts, United States
New Brunswick�Piscataway, New Jersey, United States
Raleigh, North Carolina, United States
Charlottesville, Virginia, United States
Bloomington, Indiana, United States
Rochester, New York, United States
Merced, California, United States
Medford and Somerville, Massachusetts, United States

Knoxville, Tennessee, United States
Columbia, South Carolina, United States
Chestnut Hill, Massachusetts, United States
Las Cruces, New Mexico, United States
Dorchester, Boston, Massachusetts, United States
Morgantown, West Virginia, United States
Columbia, Missouri, United States
Kalamazoo, Michigan, United States


